9.999994688392900288e-01 8.593847292948390188e-45 5.311607104912131278e-07 8.133805117119499891e-30
8.521883706794639735e-19 3.701373733122709756e-40 9.999999972600099873e-01 2.739990339178129919e-09
2.745653152812449313e-56 5.383309297456319288e-57 3.825152925553032145e-09 9.999999961748470279e-01
1.118298151764060023e-23 4.780364626738589743e-12 9.999999999952169372e-01 2.715178508935750067e-15
1.166766421116390018e-29 1.556531653577769675e-09 9.999999984434682077e-01 8.985034797071820301e-21
1.000000000000000000e+00 3.021658636050399372e-68 6.307609860620355612e-17 4.899135701979228601e-61
9.999999999998979705e-01 8.271845185222208520e-66 1.016553177400509728e-13 5.006734706084819219e-52
9.999999996984448858e-01 3.730598008218599871e-42 3.015544126452352535e-10 3.279078444076059816e-33
2.363994203048730152e-19 3.043837716197680210e-24 9.999999999999357181e-01 6.466881871254789152e-14
2.025632847752009928e-25 1.940339093487489941e-26 9.999999999999998890e-01 4.730893213250299797e-18
9.999999998335209472e-01 2.050206649263899647e-50 1.664789196720854944e-10 2.567208299078160143e-41
7.576668063413480073e-20 3.078695061886480040e-38 9.999999405747570513e-01 5.942524316861768988e-08
4.225581381228200428e-44 9.412622464228469520e-38 1.636502992024765901e-04 9.998363497007970446e-01
6.208911757349160075e-34 5.963773175812789658e-19 9.999999962995016478e-01 3.700499139133929580e-09
2.897245576429369674e-18 5.071515676099370805e-12 9.999999999257291883e-01 6.919920533642979113e-11
4.334551329927160088e-19 5.354198288603259864e-15 9.999999999996438405e-01 3.510525806215739445e-13
1.222271172944799944e-19 3.094202041805570178e-14 9.999999933840928446e-01 6.615875929223060656e-09
1.035486583481030117e-14 5.150084083193739425e-10 9.999999994554533700e-01 2.952721094643140177e-11
2.576463584907510044e-21 1.236913535795369831e-13 9.999999999998747668e-01 2.043763122864910225e-15
1.829239155707490220e-30 5.244266239714899094e-37 1.624042317839455851e-01 8.375957682160541928e-01
